REPORT_NO,STATUS_FLAG,DEPT_CD,DEPT_NM,FLAW_GBN,REPORT_DT,INPUT_DT,PLANT_CD,PROCESS_CD,ITEM_CD,ITEM_GROUP_CD,FLAW_QTY,TYPE_CD,LOSS_MH,BP_CD,PAR_ITEM_CD,OUT_HOGI,ISSUE_DT,REMARK,INIT_QA_YN,REL_DEPT_YN,REL_DEPT_CD,CLAIM_YN,PART_COST,LABOR_COST,CLAIM_AMT,FINAL_CLAIM_AMT,DECIDE_RESULT,FLAW_STATE,ACT_RESULT,REL_DEPT_DT,REL_DEPT_COMMENT,CAP_YN,CAP_ACTION,QA_COMMENT,DECIDE_YN,DECIDE_DT,SIGN_YN,SIGN_DT,FINAL_YN,FINAL_DT,INSRT_USER_ID,INSRT_DT,UPDT_USER_ID,UPDT_DT,REG_DT,BIZ_DT,USE_ITEM_SEQ
QA2601022,P20,SH11610100,품질관리팀,QC,2026-01-12 00:00:00,2026-01-20 00:00:00,SA00,A02,D583300D,ZZZZZ,1.00,I,0,3128180264,D580000,103,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,2라인-본넷 후방도어 상단부 변형됨,업체방문 변형수정 조치완료 ,,,N,,,Y,2026-04-17 09:57:22.243000,,,N,,499162,2026-01-20 11:23:42.217000,499162,2026-04-17 09:57:22.243000,2026-03-04 09:26:59.800000,,0
QA2601023,P20,SH11610100,품질관리팀,QC,2026-01-02 00:00:00,2026-01-20 00:00:00,SA00,A04,A561301D,ZZZZZ,1.00,A,0,4918102052,A670000,33,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,품번52 홀 가공 위치 불량 (S' : 55m/ A' : 85mm),사내수정 조치 완료,,,N,,,Y,2026-05-07 15:21:17.727000,,,N,,421029,2026-01-20 13:27:54.153000,421029,2026-05-07 15:21:17.727000,2026-03-04 09:26:59.800000,,0
QA2601024,P20,SH11610100,품질관리팀,QC,2026-01-02 00:00:00,2026-01-20 00:00:00,SA00,A04,A551145D,ZZZZZ,1.00,B,0,3320703029,A670000,33,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,절곡불량 ( 절곡부S' : 100mm / A' : 235mm),신품 제작하여 납품,,,N,,,Y,2026-05-07 15:21:47.967000,,,N,,421029,2026-01-20 13:34:32.190000,421029,2026-05-07 15:21:47.967000,2026-03-04 09:26:59.800000,,0
QA2601025,P20,SH11610100,품질관리팀,QC,2026-01-14 00:00:00,2026-01-20 00:00:00,SA00,A02,500000V-JD80161,ZZZZZ,1.00,D,0,6098124002,T1D1-0000000-00,389~390,,,N,Y,SH11610100,N,0.00,860.00,0.00,0.00,,"크린룸 FITTING 입고불량. S:G PF3/4""*PF1"". A:G PF1""*PF3/4""-규격 반대로 입고됨 ",재고분 선조치완료.업체내용전달 주의요청함.납품시 추가입고요청 ,,,N,,,Y,2026-04-17 09:59:07.680000,,,N,,499162,2026-01-20 14:06:34.110000,499162,2026-04-17 09:59:07.680000,2026-03-04 09:26:59.800000,,0
QA2601026,P20,SH11610100,품질관리팀,QC,2026-01-15 00:00:00,2026-01-20 00:00:00,SA00,A02,D363500G-V,ZZZZZ,1.00,B,0,6618702541,D580000,103,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,연료탱크 후방 호스조립부 PIPE 용접부 크랙으로 누유됨 ,업체방문 탱크 탈거후 반출 용접 수정 및 테스트 장착조치완료. 누유 및 조립상태확인완료 ,,,N,,,Y,2026-04-17 09:59:42.003000,,,N,,499162,2026-01-20 14:13:52.803000,499162,2026-04-17 09:59:42.003000,2026-03-04 09:26:59.800000,,0
QA2601027,P20,SH11610100,품질관리팀,QC,2026-01-15 00:00:00,2026-01-20 00:00:00,SA00,A01,Z2P3-2748000-03,ZZZZZ,1.00,B,0,5296700372,Z5P1-MPPV000-00,854,,,N,Y,SH11231200,N,0.00,51500.00,0.00,0.00,,1라인-머플러 파이프 각도불량으로 HOOD 머플러 프랜지 절단시 상단으로 올라감(타포린 쫄대와 간섭됨) ,업체 신품 입고완료 ,,XXX XXX XXX(XXX → XXX),N,,XXX XXX XXX,Y,2026-05-07 15:21:31.250000,,,N,,499162,2026-01-20 14:31:12.420000,421029,2026-05-07 15:21:31.250000,2026-03-04 09:26:59.800000,,0
QA2601028,P20,SH11610100,품질관리팀,QC,2026-01-20 00:00:00,2026-01-20 00:00:00,SA00,A03,WR27000,ZZZZZ,1.00,E,0,4018122865,WC10000000,52,,,N,Y,SH11610100,N,0.00,860.00,0.00,0.00,,배터리 +단자커버 파손됨,재고분 선투입완료. 업체방문시 교체완료,,,N,,,Y,2026-04-17 10:01:40.177000,,,N,,499162,2026-01-20 15:44:57.047000,499162,2026-04-17 10:01:40.177000,2026-03-04 09:26:59.800000,,0
QA2601029,P20,SH11610100,품질관리팀,QC,2026-01-20 00:00:00,2026-01-20 00:00:00,SA00,A07,ES17300,ZZZZZ,1.00,E,0,2068638393,WC10000000,44,,클레임,N,Y,SH11610100,N,0.00,860.00,0.00,0.00,,"붐길이센서 +,s 저항체크 인입,인출시 저항값 증가,감소안됨",재고분 선교체조치완료.탈거분 업체반출후 원인분석 요청함 현장교체작업공수 패널티처리예정,,,N,,,Y,2026-04-17 10:03:08.317000,,,N,,499162,2026-01-20 16:11:24.427000,499162,2026-04-17 10:03:08.317000,2026-03-04 09:26:59.800000,,0
QA2601030,P20,SH11610100,품질관리팀,QC,2026-01-19 00:00:00,2026-01-21 00:00:00,SA00,A03,W1R3-6010000-00,ZZZZZ,2.00,N,0,1131735894,WC10000000,55~56,,클레임,N,Y,SH11610100,N,0.00,860.00,0.00,0.00,,WIRE 1EA 파손 1EA 감김 불량,1/20 업체 신품 교체 완료(현장교체공수페널티처리),,,N,,,Y,2026-05-07 15:21:54.260000,,,N,,493026,2026-01-21 08:49:29.893000,421029,2026-05-07 15:21:54.260000,2026-03-04 09:26:59.800000,,0
QA2601032,P20,SH11610100,품질관리팀,QC,2026-01-20 00:00:00,2026-01-21 00:00:00,SA00,A07,EW07210,ZZZZZ,1.00,E,0,1308687694,WC10000000,50,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,"하부박스 ch0,cl0엔드캡 분기시 케이블 크로스되어 통신에러발생함.",현장조치완료. 업체 내용전전달후 납품전 확인요청함,,,N,,,Y,2026-04-17 10:03:38.870000,,,N,,499162,2026-01-21 09:06:54.990000,499162,2026-04-17 10:03:38.870000,2026-03-04 09:26:59.800000,,0
QA2601033,P20,SH11610100,품질관리팀,QC,2026-01-21 00:00:00,2026-01-21 00:00:00,SA00,A01,P013122E,ZZZZZ,1.00,A,0,3320703029,P020000,1,,,N,Y,SH00000000,N,0.00,860.00,0.00,0.00,,파이프 프랜지 2번 단품 M16 TAP 4EA 가공누락,업체 화물발송후 수정 입고완료,,XXX XXX 건,N,,,Y,2026-04-17 10:05:44.370000,,,N,,499162,2026-01-21 09:45:41.967000,499162,2026-04-17 10:05:44.370000,2026-03-04 09:26:59.800000,,0
QA2601034,P20,SH11610100,품질관리팀,QC,2026-01-20 00:00:00,2026-01-21 00:00:00,SA00,A04,DC55320002,ZZZZZ,1.00,B,0,1248131958,D550000,1,,클레임,N,Y,SH22101000,N,0.00,860.00,0.00,0.00,,오실레이션 실린더 핀 조립부 BOSS (D323201-2-2)취부불량 - 태정기업 DC55320006 사내가공불량,사내 가공 수정 완료-사내업체 (태정기업) 가공 수정공수 패널티처리예정,,XXX XXX 건,N,,,Y,2026-05-07 15:22:06.710000,,,N,,493026,2026-01-21 11:16:31.360000,421029,2026-05-07 15:22:06.710000,2026-03-04 09:26:59.800000,,0
QA2601035,P20,SH11610100,품질관리팀,QC,2026-01-06 00:00:00,2026-01-21 00:00:00,SA00,A03,M102050D,ZZZZZ,1.00,A,0,4918102052,WC10000000,41,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,홀가공불량 가공단차로 핀삽입안됨,사내 수정 완료,,,N,,,Y,2026-05-07 15:22:17.480000,,,N,,421029,2026-01-21 11:52:14.790000,421029,2026-05-07 15:22:17.480000,2026-03-04 09:26:59.800000,,0
QA2601036,P20,SH11610100,품질관리팀,QC,2026-01-06 00:00:00,2026-01-21 00:00:00,SA00,A04,A561316A,ZZZZZ,1.00,Q,0,3320703029,A670000,33,,,N,Y,SH24104000,N,0.00,860.00,0.00,0.00,,도면문제 SUB FRANE은 설변전도면으로 제작되었고 CONTORL PANEL(TOP)는 설변도면적용으로 조립불가,신품 제작하여 납품,,,N,,,Y,2026-05-07 15:22:34.560000,,,N,,421029,2026-01-21 11:54:19.033000,421029,2026-05-07 15:22:34.560000,2026-03-04 09:26:59.800000,,0
QA2601037,P20,SH11610100,품질관리팀,QC,2026-01-07 00:00:00,2026-01-21 00:00:00,SA00,A04,JD1300ERSS-1,ZZZZZ,1.00,B,0,1408188166,J8B1-0000000-00,396~405,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,REAR FRAME TANK 받침대 M16NUT 취부불량(한쪽쏠림현상),업체 내방하여 수정 완료,,,N,,,Y,2026-05-07 15:22:43.073000,,,N,,421029,2026-01-21 11:57:00.007000,421029,2026-05-07 15:22:43.073000,2026-03-04 09:26:59.800000,,0
QA2601038,P20,SH11610100,품질관리팀,QC,2026-01-08 00:00:00,2026-01-21 00:00:00,SA00,A03,M101315C,ZZZZZ,8.00,A,0,3020694842,WC10000000,53~60,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,보조 TOOL BOX COVER 홀 위치불량 S' : 62.3mm  A' : 134.5mm,신규제작납품요청-재도장비용 패널티처리예정,,,N,,,Y,2026-05-07 15:22:47.403000,,,N,,421029,2026-01-21 13:13:49.530000,421029,2026-05-07 15:22:47.403000,2026-03-04 09:26:59.800000,,0
QA2601039,P20,SH11610100,품질관리팀,QC,2026-01-12 00:00:00,2026-01-21 00:00:00,SA00,A04,A561126D,ZZZZZ,1.00,Q,0,1408188166,A670000,33,,,N,Y,SH24104000,N,0.00,860.00,0.00,0.00,,중복도면으로 설변전도면으로 발주,연구소 재발주 진행,,,N,,,Y,2026-05-07 15:22:51.780000,,,N,,421029,2026-01-21 13:16:14.527000,421029,2026-05-07 15:22:51.780000,2026-03-04 09:26:59.800000,,0
QA2601040,P20,SH11610100,품질관리팀,QC,2026-01-12 00:00:00,2026-01-21 00:00:00,SA00,A04,AW34800B,ZZZZZ,1.00,B,0,3320703029,A670000,33,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,조수석 TOOL BOX 문짝 외형 변형으로 간섭,업체 내방하여 조치 완료,,,N,,,Y,2026-05-07 15:22:57.240000,,,N,,421029,2026-01-21 13:18:35.373000,421029,2026-05-07 15:22:57.240000,2026-03-04 09:26:59.800000,,0
QA2601041,P20,SH11610100,품질관리팀,QC,2026-01-12 00:00:00,2026-01-21 00:00:00,SA00,A04,A565106B,ZZZZZ,1.00,B,0,1243020333,A670000,33,,,N,Y,SH11610100,N,0.00,860.00,0.00,0.00,,3RD HEAD BOOM FRP COVER 납품 불량,부품팀 재고 선진행 차후신제작하여 납품예정,,,N,,,Y,2026-05-07 15:23:00.113000,,,N,,421029,2026-01-21 13:20:52.233000,421029,2026-05-07 15:23:00.113000,2026-03-04 09:26:59.800000,,0
QA2601042,P20,SH11610100,품질관리팀,QC,2026-01-12 00:00:00,2026-01-21 00:00:00,SA00,A03,M101348A,ZZZZZ,1.00,A,0,3020694842,WC10000000,49,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,"보조 TOOL BOX COVER 홀 위치불량 S154,2mm  A164,2mm 10mm쏠림",반출 수정 입고시 재도장 비용 패널티 처리예정,,,N,,,Y,2026-05-07 15:23:02.733000,,,N,,421029,2026-01-21 13:22:52.200000,421029,2026-05-07 15:23:02.733000,2026-03-04 09:26:59.800000,,0
QA2601043,P20,SH11610100,품질관리팀,QC,2026-01-12 00:00:00,2026-01-21 00:00:00,SA00,A04,S5T2-2802000-03,ZZZZZ,1.00,A,0,1348149488,A670000,33,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,WINCH BODY 품번10 록킹장치 고정브라켓 탭불량2-M4TAP  나사산불량,업체 내방하여 수정,,,N,,,Y,2026-05-07 15:23:05.690000,,,N,,421029,2026-01-21 13:25:08.443000,421029,2026-05-07 15:23:05.690000,2026-03-04 09:26:59.800000,,0
QA2601044,P20,SH11610100,품질관리팀,QC,2026-01-13 00:00:00,2026-01-21 00:00:00,SA00,A01,D705157,ZZZZZ,1.00,Q,0,1248131958,D700000,29,,,N,Y,SH24103000,N,0.00,860.00,0.00,0.00,,BLOCK 방향이 반대로 되어 볼트조립홀이 가려져 조립안됨,설계 변경 요청 및 사내 수정 조치함,,,N,,,Y,2026-04-17 10:14:27.440000,,,N,,421029,2026-01-21 13:31:35.107000,499162,2026-04-17 10:14:27.440000,2026-03-04 09:26:59.800000,,0
QA2601045,P20,SH11610100,품질관리팀,QC,2026-01-13 00:00:00,2026-01-21 00:00:00,SA00,A03,M109101D,ZZZZZ,1.00,D,0,7318502133,WC10000000,33,,,N,Y,SH11610100,N,0.00,860.00,0.00,0.00,,하부 PUMP 셕션호스 S 38x70x2000 5/905 HEL 1EA 금구 오일누유,대체품 업체 신규제작 입고완료. 현장 교체후 공수 패널티 처리예정,,,N,,,Y,2026-05-07 15:23:08.810000,,,N,,421029,2026-01-21 13:34:27.180000,421029,2026-05-07 15:23:08.810000,2026-03-04 09:26:59.800000,,0
