ITEM_CD,ITEM_NM,ITEM_GROUP_NM,SPEC,BASIC_UNIT,HS_CD
2556432,"HOSE,OIL/D25XP210XL650 5/90F",SB130,D25XP210XL650 5/90F,EA,8431.49-9000
2556445,"HOSE,OIL/D25XP210XL1150 5/90F",SB125,D25XP210XL1150 5/90F,EA,8431.49-9000
2556454,"HOSE,OIL/D25XP210XL1600 5/90F",SB130,D25XP210XL1600 5/90F,EA,8431.49-9000
2564448,"HOSE,OIL/D25XP210XL1300 5/90F",SB81,D25XP210XL1300 5/90F,EA,8431.49-9000
2568026,"HOSE,OIL/D6XP210XL500 3/903",SB50,D6XP210XL500 3/903,EA,8431.49-9000
2568034,"HOSE,OIL/D6XP210XL700 3/903",SB50,D6XP210XL700 3/903,EA,8431.49-9000
2568338,"HOSE,OIL/D19XP210XL800 3/903",SB81,D19XP210XL800 3/903,EA,8431.49-9000
2568340,"HOSE,OIL/D19XP210XL900 3/903",SB81,D19XP210XL900 3/903,EA,8431.49-9000
2569349,"HOSE,OIL/D19XP210XL1350 5/905L2",SB130,D19XP210XL1350 5/905L2,EA,8431.49-9000
2584446,"HOSE,OIL/D25XP210XL1300 5/90FL3",SB130,D25XP210XL1300 5/90FL3,EA,8431.49-9000
2584542,"HOSE,OIL/D32XP210XL1000 5/90FL3",SB130,D32XP210XL1000 5/90FL3,EA,8431.49-9000
2585443,"HOSE,OIL/D25XP210XL1050 F/905",SB130,D25XP210XL1050 F/905,EA,8431.49-9000
2587444,"HOSE,OIL/D25XP210XL1100 4/55F",SB81,D25XP210XL1100 4/55F,EA,8431.49-9000
2587445,"HOSE,OIL/D25XP210XL1150 4/55F",SB81,D25XP210XL1150 4/55F,EA,8431.49-9000
2588054,"HOSE,OIL/D6XP70XL1600 5/903",SB50,D6XP70XL1600 5/903,EA,8431.49-9000
2588140,"HOSE,OIL/D9XP70XL900 5/903",SB130,D9XP70XL900 5/903,EA,8431.49-9000
2588348,"HOSE,OIL/D19XP70XL1300 5/903",SB50,D19XP70XL1300 5/903,EA,8431.49-9000
